Date,MaxT,MinT,Daily Avg
01/01/2000,60.,47.,53.5
01/02/2000,57.,43.,50.
01/03/2000,59.,32.,45.5
01/04/2000,65.,40.,52.5
01/05/2000,64.,38.,51.
01/06/2000,64.,37.,50.5
01/07/2000,65.,38.,51.5
01/08/2000,63.,38.,50.5
01/09/2000,63.,36.,49.5
01/10/2000,68.,39.,53.5
01/11/2000,71.,42.,56.5
01/12/2000,73.,44.,58.5
01/13/2000,77.,44.,60.5
01/14/2000,81.,49.,65.
01/15/2000,81.,48.,64.5
01/16/2000,77.,49.,63.
01/17/2000,78.,53.,65.5
01/18/2000,79.,57.,68.
01/19/2000,79.,53.,66.
01/20/2000,77.,53.,65.
01/21/2000,73.,55.,64.
01/22/2000,70.,53.,61.5
01/23/2000,72.,45.,58.5
01/24/2000,74.,52.,63.
01/25/2000,78.,53.,65.5
01/26/2000,69.,55.,62.
01/27/2000,67.,47.,57.
01/28/2000,67.,43.,55.
01/29/2000,67.,41.,54.
01/30/2000,68.,50.,59.
01/31/2000,67.,51.,59.
02/01/2000,70.,44.,57.
02/02/2000,73.,45.,59.
02/03/2000,76.,47.,61.5
02/04/2000,75.,46.,60.5
02/05/2000,76.,48.,62.
02/06/2000,76.,47.,61.5
02/07/2000,83.,47.,65.
02/08/2000,81.,53.,67.
02/09/2000,78.,54.,66.
02/10/2000,75.,54.,64.5
02/11/2000,69.,50.,59.5
02/12/2000,71.,51.,61.
02/13/2000,67.,50.,58.5
02/14/2000,72.,50.,61.
02/15/2000,77.,50.,63.5
02/16/2000,69.,52.,60.5
02/17/2000,65.,51.,58.
02/18/2000,68.,45.,56.5
02/19/2000,74.,47.,60.5
02/20/2000,83.,54.,68.5
02/21/2000,76.,54.,65.
02/22/2000,66.,52.,59.
02/23/2000,69.,49.,59.
02/24/2000,63.,49.,56.
02/25/2000,63.,45.,54.
02/26/2000,69.,43.,56.
02/27/2000,80.,45.,62.5
02/28/2000,67.,57.,62.
02/29/2000,71.,48.,59.5
03/01/2000,69.,54.,61.5
03/02/2000,71.,47.,59.
03/03/2000,79.,50.,64.5
03/04/2000,73.,52.,62.5
03/05/2000,59.,50.,54.5
03/06/2000,52.,44.,48.
03/07/2000,55.,43.,49.
03/08/2000,64.,43.,53.5
03/09/2000,67.,49.,58.
03/10/2000,71.,46.,58.5
03/11/2000,78.,49.,63.5
03/12/2000,80.,51.,65.5
03/13/2000,81.,60.,70.5
03/14/2000,84.,56.,70.
03/15/2000,84.,57.,70.5
03/16/2000,81.,59.,70.
03/17/2000,82.,57.,69.5
03/18/2000,83.,55.,69.
03/19/2000,82.,57.,69.5
03/20/2000,69.,53.,61.
03/21/2000,60.,47.,53.5
03/22/2000,68.,48.,58.
03/23/2000,73.,53.,63.
03/24/2000,81.,51.,66.
03/25/2000,82.,56.,69.
03/26/2000,83.,56.,69.5
03/27/2000,82.,58.,70.
03/28/2000,72.,59.,65.5
03/29/2000,78.,56.,67.
03/30/2000,79.,60.,69.5
03/31/2000,64.,52.,58.
04/01/2000,69.,49.,59.
04/02/2000,75.,50.,62.5
04/03/2000,84.,55.,69.5
04/04/2000,93.,62.,77.5
04/05/2000,92.,62.,77.
04/06/2000,89.,63.,76.
04/07/2000,92.,59.,75.5
04/08/2000,94.,64.,79.
04/09/2000,94.,66.,80.
04/10/2000,86.,64.,75.
04/11/2000,87.,61.,74.
04/12/2000,92.,64.,78.
